date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:42	112904/112904	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2010:50:34%20GMT	https://ravansh.info/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/index.html	(from )
16:53:42	109/109	---M-Z	200	added ('OK')	text/plain	date:Wed,%2010%20Jan%202024%2011:23:38%20GMT	https://ravansh.info/robots.txt		(from )
16:53:43	64215/64215	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jan%202024%2011:23:39%20GMT	https://ravansh.info/r	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/r	(from https://ravansh.info/)
16:53:43	1022/1022	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Jan%202024%2007:38:42%20GMT	https://ravansh.info/feed/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/feed/index.html	(from https://ravansh.info/)
16:53:43	64215/64215	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jan%202024%2011:23:40%20GMT	https://ravansh.info/Firefox/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/Firefox/index.html	(from https://ravansh.info/)
16:53:43	308/308	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2006:10:59%20GMT	https://ravansh.info/wp-content/cache/min/1/wp-content/plugins/iws-geo-form-fields/public/assets/iws-geo-form-fields.css?ver=1704348659	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/cache/min/1/wp-content/plugins/iws-geo-form-fields/public/assets/iws-geo-form-fields82da.css	(from https://ravansh.info/)
16:53:44	723/723	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Jan%202024%2007:38:42%20GMT	https://ravansh.info/comments/feed/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/comments/feed/index.html	(from https://ravansh.info/)
16:53:44	5756/5756	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2003:58:44%20GMT	https://ravansh.info/wp-content/themes/hello-elementor/style.min.css?ver=3.0.0	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/themes/hello-elementor/style.min6e0e.css	(from https://ravansh.info/)
16:53:44	5131/5131	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2003:58:44%20GMT	https://ravansh.info/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.0	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/themes/hello-elementor/theme.min6e0e.css	(from https://ravansh.info/)
16:53:44	7325/7325	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2003:58:44%20GMT	https://ravansh.info/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.0	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/themes/hello-elementor/header-footer.min6e0e.css	(from https://ravansh.info/)
16:53:45	117332/117332	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2010:06:49%20GMT	https://ravansh.info/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://ravansh.info/)
16:53:45	2433/2433	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2005:38:17%20GMT	https://ravansh.info/wp-content/uploads/elementor/css/post-7.css?ver=1704346697	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/elementor/css/post-7a0b9.css	(from https://ravansh.info/)
16:53:45	413/413	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2010:06:49%20GMT	https://ravansh.info/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.18.3	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.minf3b2.css	(from https://ravansh.info/)
16:53:45	16223/16223	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2006:10:59%20GMT	https://ravansh.info/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=1704348659	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min82da.css	(from https://ravansh.info/)
16:53:46	11053/11053	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2010:07:17%20GMT	https://ravansh.info/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.18.2	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minaad7.css	(from https://ravansh.info/)
16:53:46	35981/35981	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2006:10:50%20GMT	https://ravansh.info/wp-content/uploads/elementor/css/post-14.css?ver=1704348650	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/elementor/css/post-14bb62.css	(from https://ravansh.info/)
16:53:46	5223/5223	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2005:38:17%20GMT	https://ravansh.info/wp-content/uploads/elementor/css/post-28.css?ver=1704346697	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/elementor/css/post-28a0b9.css	(from https://ravansh.info/)
16:53:46	16187/16187	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2007:38:43%20GMT	https://ravansh.info/wp-content/uploads/elementor/css/post-55.css?ver=1704353923	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/elementor/css/post-5599bc.css	(from https://ravansh.info/)
16:53:47	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://ravansh.info/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-includes/js/jquery/jquery.minf43b.js	(from https://ravansh.info/)
16:53:47	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://ravansh.info/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ravansh.info/)
16:53:47	34032/34032	---M-Z	200	added ('OK')	application/json	date:Wed,%2010%20Jan%202024%2011:23:45%20GMT	https://ravansh.info/wp-json/wp/v2/pages/14	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-json/wp/v2/pages/14.json	(from https://ravansh.info/)
16:53:48	192698/192698	---M-Z	200	added ('OK')	application/json	date:Wed,%2010%20Jan%202024%2011:23:45%20GMT	https://ravansh.info/wp-json/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-json/index.html	(from https://ravansh.info/)
16:53:48	786/786	---M-Z	200	added ('OK')	text/xml	date:Wed,%2010%20Jan%202024%2011:23:45%20GMT	https://ravansh.info/xmlrpc.php?rsd	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/xmlrpc0db0.php	(from https://ravansh.info/)
16:53:48	2009/2009	---M-Z	200	added ('OK')	application/json	date:Wed,%2010%20Jan%202024%2011:23:45%20GMT	https://ravansh.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fravansh.info%2F	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-json/oembed/1.0/embedb909.json	(from https://ravansh.info/)
16:53:48	2171/2171	---M-Z	200	added ('OK')	text/xml	date:Wed,%2010%20Jan%202024%2011:23:46%20GMT	https://ravansh.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fravansh.info%2F&format=xml	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-json/oembed/1.0/embed2edc	(from https://ravansh.info/)
16:53:49	2046/2046	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202024%2005:49:51%20GMT	https://ravansh.info/wp-content/uploads/2024/01/ri-150x150.jpg	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/2024/01/ri-150x150.jpg	(from https://ravansh.info/)
16:53:49	7455/7455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202024%2005:49:50%20GMT	https://ravansh.info/wp-content/uploads/2024/01/ri.jpg	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/2024/01/ri.jpg	(from https://ravansh.info/)
16:53:49	662/662	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202024%2006:02:31%20GMT	https://ravansh.info/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://ravansh.info/)
16:53:50	26464/26464	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2010:07:17%20GMT	https://ravansh.info/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://ravansh.info/)
16:53:50	17062/17062	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Dec%202023%2012:41:07%20GMT	https://ravansh.info/wp-content/uploads/2023/12/gem.png	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/2023/12/gem.png	(from https://ravansh.info/)
16:53:50	6491/6491	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Dec%202023%2010:54:27%20GMT	https://ravansh.info/wp-content/uploads/2023/12/ravansh.svg	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/uploads/2023/12/ravansh.svg	(from https://ravansh.info/)
16:53:50	99588/99588	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2011:19:42%20GMT	https://ravansh.info/about-us/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/about-us/index.html	(from https://ravansh.info/)
16:53:51	80041/80041	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2011:20:44%20GMT	https://ravansh.info/trading-sectors/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/trading-sectors/index.html	(from https://ravansh.info/)
16:53:51	87570/87570	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2001:31:12%20GMT	https://ravansh.info/trading-sectors/precious-stones/	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/trading-sectors/precious-stones/index.html	(from https://ravansh.info/)
16:53:52	9921/9921	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2010:06:49%20GMT	https://ravansh.info/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/hp/3D%20Objects/Ravansh/ravansh.info/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://ravansh.info/)
